dataset,chromosomes,start_position,end_position,score,score_sma,dataset_strand,product,sample_strand,time_after_exposure,replicate,async,early,late,ear_la
.,chr1,1000000,1050000,0.337683,0.310112201796991,.,CPD,-,12,_,0.515946597750218,0.690041605962213,0.813477921742783,0.848261013014192
.,chr1,1000000,1050000,0.337683,0.310112201796991,.,CPD,+,12,_,0.60572946786341,0.871497553067245,0.591936377674833,1.47228247145504
.,chr1,10000000,10050000,0.990828616929191,0.845929635041897,.,CPD,+,12,_,0.879507832269116,0.917417312843146,0.981580437904933,0.93463284048454
.,chr1,10000000,10050000,0.990828616929191,0.845929635041897,.,CPD,-,12,_,1.02002993087295,1.28903881646454,1.1145605403515,1.15654445837282
.,chr1,10050000,10100000,0.813257,0.892450541246303,.,CPD,+,12,_,0.676688717707653,0.754105504245436,0.822102735037979,0.917288645452078
.,chr1,10050000,10100000,0.813257,0.892450541246303,.,CPD,-,12,_,1.11939947899778,1.04244309066503,1.05264426956698,0.990308996878747
.,chr1,10100000,10150000,0.79558,0.901591741246303,.,CPD,-,12,_,1.76760431320084,1.74093557079348,1.36743323653996,1.27314118471963
.,chr1,10100000,10150000,0.79558,0.901591741246303,.,CPD,+,12,_,1.05115851553631,1.20611096455246,1.08419659060767,1.11244674167113
.,chr1,10150000,10200000,0.822399644566837,0.844342991411099,.,CPD,-,12,_,1.35104718576503,0.86126016617293,1.26540192696493,0.680621822853285
.,chr1,10150000,10200000,0.822399644566837,0.844342991411099,.,CPD,+,12,_,1.26638567701175,1.29451061930059,1.09346844645089,1.18385731522681
.,chr1,10200000,10250000,0.877178,0.755415391276812,.,CPD,-,12,_,1.32892863965804,1.1491948975973,0.859749881602924,1.33666188526218
.,chr1,10200000,10250000,0.877178,0.755415391276812,.,CPD,+,12,_,1.15549601894716,1.12680496042921,1.26466705286664,0.89098941723441
.,chr1,10250000,10300000,0.642329187602076,0.654805099583893,.,CPD,-,12,_,1.73720180357637,0.856735411932625,1.01211877120169,0.846477149036002
.,chr1,10250000,10300000,0.642329187602076,0.654805099583893,.,CPD,+,12,_,1.34387702705463,1.08077279049142,1.13195289497821,0.954786012108938
.,chr1,10300000,10350000,0.825946463670017,0.575492749583893,.,CPD,-,12,_,1.90696646685823,1.36253668277338,1.37258954744808,0.99267598628199
.,chr1,10300000,10350000,0.825946463670017,0.575492749583893,.,CPD,+,12,_,1.24952391767687,1.01615245497108,1.22742942964256,0.827870369107075
.,chr1,10350000,10400000,0.970431,0.508891939971328,.,CPD,-,12,_,1.76669323952947,1.46339468412912,1.27099411735606,1.15137801516603
.,chr1,10350000,10400000,0.970431,0.508891939971328,.,CPD,+,12,_,0.905303508727155,1.44702918973386,1.12011182711657,1.29186136125252
.,chr1,10400000,10450000,0.470869,0.433953273775269,.,CPD,-,12,_,1.06443382095109,1.10887105053946,0.839582701610324,1.32074070655891
.,chr1,10400000,10450000,0.470869,0.433953273775269,.,CPD,+,12,_,0.873238497815813,1.0205693084979,0.956856650279356,1.06658537430862
.,chr1,10450000,10500000,0.345335,0.341632573775269,.,CPD,-,12,_,1.23647991102823,0.863351526469396,0.732847291258971,1.1780783483367
