chromosomes,start_position,end_position,dataset,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,real,sim,real_sim,score_sma
chr1,1000000,1050000,.,0.337683,.,CPD,early,12,-,_,2.36283663368765,3.42419444461301,0.690041605962213,0.310112201796991
chr1,1000000,1050000,.,0.337683,.,CPD,early,12,+,_,2.59347935433544,2.97588828013075,0.871497553067245,0.310112201796991
chr1,1000000,1050000,.,0.337683,.,CPD,late,12,-,_,2.22254844975352,2.73215583404153,0.813477921742783,0.310112201796991
chr1,1000000,1050000,.,0.337683,.,CPD,late,12,+,_,2.05405768164974,3.47006495819402,0.591936377674833,0.310112201796991
chr1,10000000,10050000,.,0.990828616929191,.,CPD,early,12,+,_,1.80921067544568,1.97206947167674,0.917417312843146,0.845929635041897
chr1,10000000,10050000,.,0.990828616929191,.,CPD,early,12,-,_,1.91768499516396,1.48768599569687,1.28903881646454,0.845929635041897
chr1,10000000,10050000,.,0.990828616929191,.,CPD,late,12,+,_,1.45188963818218,1.47913465072824,0.981580437904933,0.845929635041897
chr1,10000000,10050000,.,0.990828616929191,.,CPD,late,12,-,_,1.40406343064172,1.2597462226672,1.1145605403515,0.845929635041897
chr1,10050000,10100000,.,0.813257,.,CPD,early,12,-,_,1.66065362092365,1.59304007652277,1.04244309066503,0.892450541246303
chr1,10050000,10100000,.,0.813257,.,CPD,early,12,+,_,1.59726946994651,2.11809814535799,0.754105504245436,0.892450541246303
chr1,10050000,10100000,.,0.813257,.,CPD,late,12,-,_,1.3945125562609,1.32477095689178,1.05264426956698,0.892450541246303
chr1,10050000,10100000,.,0.813257,.,CPD,late,12,+,_,1.31073370113669,1.5943672795057,0.822102735037979,0.892450541246303
chr1,10100000,10150000,.,0.79558,.,CPD,early,12,-,_,2.13585284369734,1.22684198055869,1.74093557079348,0.901591741246303
chr1,10100000,10150000,.,0.79558,.,CPD,late,12,-,_,1.92240942833382,1.40585249572998,1.36743323653996,0.901591741246303
chr1,10100000,10150000,.,0.79558,.,CPD,early,12,+,_,2.05079307392433,1.70033532087597,1.20611096455246,0.901591741246303
chr1,10100000,10150000,.,0.79558,.,CPD,late,12,+,_,1.67118546894929,1.54140446799654,1.08419659060767,0.901591741246303
chr1,10150000,10200000,.,0.822399644566837,.,CPD,early,12,-,_,1.28560274288128,1.49269964335394,0.86126016617293,0.844342991411099
chr1,10150000,10200000,.,0.822399644566837,.,CPD,early,12,+,_,1.88105832753561,1.45310382123549,1.29451061930059,0.844342991411099
chr1,10150000,10200000,.,0.822399644566837,.,CPD,late,12,-,_,1.41886923148047,1.12127949329399,1.26540192696493,0.844342991411099
chr1,10150000,10200000,.,0.822399644566837,.,CPD,late,12,+,_,1.2929610407823,1.1824401929282,1.09346844645089,0.844342991411099
chr1,10200000,10250000,.,0.877178,.,CPD,early,12,-,_,1.40525798505484,1.22281954783554,1.1491948975973,0.755415391276812
chr1,10200000,10250000,.,0.877178,.,CPD,early,12,+,_,1.9821860361008,1.75912079349186,1.12680496042921,0.755415391276812
chr1,10200000,10250000,.,0.877178,.,CPD,late,12,-,_,1.39232018661561,1.61944795388603,0.859749881602924,0.755415391276812
chr1,10200000,10250000,.,0.877178,.,CPD,late,12,+,_,1.5155358419393,1.19836745845795,1.26466705286664,0.755415391276812
chr1,10250000,10300000,.,0.642329187602076,.,CPD,early,12,-,_,1.21731981331433,1.42088186896384,0.856735411932625,0.654805099583893
chr1,10250000,10300000,.,0.642329187602076,.,CPD,early,12,+,_,1.69358442927058,1.56701246013098,1.08077279049142,0.654805099583893
chr1,10250000,10300000,.,0.642329187602076,.,CPD,late,12,-,_,1.34765577722505,1.33151939828661,1.01211877120169,0.654805099583893
chr1,10250000,10300000,.,0.642329187602076,.,CPD,late,12,+,_,1.48300155900037,1.31012656584876,1.13195289497821,0.654805099583893
chr1,10300000,10350000,.,0.825946463670017,.,CPD,early,12,-,_,1.45923960708081,1.07097271253689,1.36253668277338,0.575492749583893
